obstereo	obEZ	obSMILES	obInChi	obInChiKey
0	0	Clc1n(cc(c1)C(=O)NC(CCCC)(C)C)CCc1c[nH]cc1	InChI=1S/C18H26ClN3O/c1-4-5-8-18(2,3)21-17(23)15-11-16(19)22(13-15)10-7-14-6-9-20-12-14/h6,9,11-13,20H,4-5,7-8,10H2,1-3H3,(H,21,23)	LZMMKRXTYOFHOG-UHFFFAOYSA-N
1	0	Clc1scc(c1)C(=O)N[C@H](C(=O)CCC(=O)O)CCC(=O)O	InChI=1S/C13H14ClNO6S/c14-10-5-7(6-22-10)13(21)15-8(1-3-11(17)18)9(16)2-4-12(19)20/h5-6,8H,1-4H2,(H,15,21)(H,17,18)(H,19,20)/t8-/m0/s1	DCAQTLJLAFFAGL-QMMMGPOBSA-N
0	0	O=C(OC(=O)CCCc1cc(O)c2c(c1)c(C(=O)O)cc(c2)O)NC(=O)c1ccccc1	InChI=1S/C23H19NO8/c25-15-11-17-16(18(12-15)22(29)30)9-13(10-19(17)26)5-4-8-20(27)32-23(31)24-21(28)14-6-2-1-3-7-14/h1-3,6-7,9-12,25-26H,4-5,8H2,(H,29,30)(H,24,28,31)	SUTAXJYLUINRMS-UHFFFAOYSA-N
1	0	O(c1c(c2c(cc1)[nH]cc2)C(C)C)CCCc1c(cccc1)[C@@H](NCC)C	InChI=1S/C24H32N2O/c1-5-25-18(4)20-11-7-6-9-19(20)10-8-16-27-23-13-12-22-21(14-15-26-22)24(23)17(2)3/h6-7,9,11-15,17-18,25-26H,5,8,10,16H2,1-4H3/t18-/m0/s1	GWUAMZXBUADQNM-SFHVURJKSA-N
0	0	o1c2c(cc1)c1c3c(c2)ccc2c3c(cc1)ccc2	InChI=1S/C18H10O/c1-2-11-4-5-13-10-16-14(8-9-19-16)15-7-6-12(3-1)17(11)18(13)15/h1-10H	ZBQZFRCGVXEYCL-UHFFFAOYSA-N
0	0	O=C(NC(=O)CCc1c2c(ccc1C(=O)O)cccc2CC)NC(=O)C	InChI=1S/C19H20N2O5/c1-3-12-5-4-6-13-7-8-15(18(24)25)14(17(12)13)9-10-16(23)21-19(26)20-11(2)22/h4-8H,3,9-10H2,1-2H3,(H,24,25)(H2,20,21,22,23,26)	KWIPRIGIXNBPPT-UHFFFAOYSA-N
1	0	S(=O)(=O)(N)c1c(c(OCC)ccc1)C(=O)[C@@H](NC(=O)OC(=O)Nc1c(C(=O)O)cccc1)C(=O)O	InChI=1S/C20H19N3O11S/c1-2-33-12-8-5-9-13(35(21,31)32)14(12)16(24)15(18(27)28)23-20(30)34-19(29)22-11-7-4-3-6-10(11)17(25)26/h3-9,15H,2H2,1H3,(H,22,29)(H,23,30)(H,25,26)(H,27,28)(H2,21,31,32)/t15-/m1/s1	PKUHPPYVTJKBCQ-OAHLLOKOSA-N
0	0	O=C(O)c1c(O)c2c(cc1C(=O)O)cccc2COC(=O)C	InChI=1S/C15H12O7/c1-7(16)22-6-9-4-2-3-8-5-10(14(18)19)12(15(20)21)13(17)11(8)9/h2-5,17H,6H2,1H3,(H,18,19)(H,20,21)	BQQSAXJXQBANEM-UHFFFAOYSA-N
2	0	Fc1c(Nc2c3c(c(c(c2)C(=O)O)O)[C@@H](C(=O)O)C=C2[C@H]3C=CC=C2)cccc1	InChI=1S/C22H16FNO5/c23-15-7-3-4-8-16(15)24-17-10-14(22(28)29)20(25)19-13(21(26)27)9-11-5-1-2-6-12(11)18(17)19/h1-10,12-13,24-25H,(H,26,27)(H,28,29)/t12-,13+/m1/s1	GCFAGXGUMOOZFI-OLZOCXBDSA-N
2	0	S(=O)(=O)(NCC)C[C@H]1N[C@@H](c2c1cc(cc2)CNC(=O)CC(=O)O)O	InChI=1S/C15H21N3O6S/c1-2-17-25(23,24)8-12-11-5-9(3-4-10(11)15(22)18-12)7-16-13(19)6-14(20)21/h3-5,12,15,17-18,22H,2,6-8H2,1H3,(H,16,19)(H,20,21)/t12-,15-/m1/s1	MTQWGROISGCREO-IUODEOHRSA-N
