tetra	ez	rdSMILES	rdInChI	rdInChIKey
0	0	CCCCC(C)(C)NC(=O)c1cc(Cl)n(CCc2cc[nH]c2)c1	InChI=1S/C18H26ClN3O/c1-4-5-8-18(2,3)21-17(23)15-11-16(19)22(13-15)10-7-14-6-9-20-12-14/h6,9,11-13,20H,4-5,7-8,10H2,1-3H3,(H,21,23)	LZMMKRXTYOFHOG-UHFFFAOYSA-N
1	1	O=C(O)CCC(=O)[C@H](CCC(=O)O)NC(=O)c1csc(Cl)c1	InChI=1S/C13H14ClNO6S/c14-10-5-7(6-22-10)13(21)15-8(1-3-11(17)18)9(16)2-4-12(19)20/h5-6,8H,1-4H2,(H,15,21)(H,17,18)(H,19,20)/t8-/m0/s1	DCAQTLJLAFFAGL-QMMMGPOBSA-N
0	0	O=C(CCCc1cc(O)c2cc(O)cc(C(=O)O)c2c1)OC(=O)NC(=O)c1ccccc1	InChI=1S/C23H19NO8/c25-15-11-17-16(18(12-15)22(29)30)9-13(10-19(17)26)5-4-8-20(27)32-23(31)24-21(28)14-6-2-1-3-7-14/h1-3,6-7,9-12,25-26H,4-5,8H2,(H,29,30)(H,24,28,31)	SUTAXJYLUINRMS-UHFFFAOYSA-N
1	1	CCN[C@@H](C)c1ccccc1CCCOc1ccc2[nH]ccc2c1C(C)C	InChI=1S/C24H32N2O/c1-5-25-18(4)20-11-7-6-9-19(20)10-8-16-27-23-13-12-22-21(14-15-26-22)24(23)17(2)3/h6-7,9,11-15,17-18,25-26H,5,8,10,16H2,1-4H3/t18-/m0/s1	GWUAMZXBUADQNM-SFHVURJKSA-N
0	0	c1cc2ccc3cc4occc4c4ccc(c1)c2c34	InChI=1S/C18H10O/c1-2-11-4-5-13-10-16-14(8-9-19-16)15-7-6-12(3-1)17(11)18(13)15/h1-10H	ZBQZFRCGVXEYCL-UHFFFAOYSA-N
0	0	CCc1cccc2ccc(C(=O)O)c(CCC(=O)NC(=O)NC(C)=O)c12	InChI=1S/C19H20N2O5/c1-3-12-5-4-6-13-7-8-15(18(24)25)14(17(12)13)9-10-16(23)21-19(26)20-11(2)22/h4-8H,3,9-10H2,1-2H3,(H,24,25)(H2,20,21,22,23,26)	KWIPRIGIXNBPPT-UHFFFAOYSA-N
1	1	CCOc1cccc(S(N)(=O)=O)c1C(=O)[C@@H](NC(=O)OC(=O)Nc1ccccc1C(=O)O)C(=O)O	InChI=1S/C20H19N3O11S/c1-2-33-12-8-5-9-13(35(21,31)32)14(12)16(24)15(18(27)28)23-20(30)34-19(29)22-11-7-4-3-6-10(11)17(25)26/h3-9,15H,2H2,1H3,(H,22,29)(H,23,30)(H,25,26)(H,27,28)(H2,21,31,32)/t15-/m1/s1	PKUHPPYVTJKBCQ-OAHLLOKOSA-N
0	0	CC(=O)OCc1cccc2cc(C(=O)O)c(C(=O)O)c(O)c12	InChI=1S/C15H12O7/c1-7(16)22-6-9-4-2-3-8-5-10(14(18)19)12(15(20)21)13(17)11(8)9/h2-5,17H,6H2,1H3,(H,18,19)(H,20,21)	BQQSAXJXQBANEM-UHFFFAOYSA-N
2	2	O=C(O)c1cc(Nc2ccccc2F)c2c(c1O)[C@@H](C(=O)O)C=C1C=CC=C[C@H]12	InChI=1S/C22H16FNO5/c23-15-7-3-4-8-16(15)24-17-10-14(22(28)29)20(25)19-13(21(26)27)9-11-5-1-2-6-12(11)18(17)19/h1-10,12-13,24-25H,(H,26,27)(H,28,29)/t12-,13+/m1/s1	GCFAGXGUMOOZFI-OLZOCXBDSA-N
2	2	CCNS(=O)(=O)C[C@H]1N[C@H](O)c2ccc(CNC(=O)CC(=O)O)cc21	InChI=1S/C15H21N3O6S/c1-2-17-25(23,24)8-12-11-5-9(3-4-10(11)15(22)18-12)7-16-13(19)6-14(20)21/h3-5,12,15,17-18,22H,2,6-8H2,1H3,(H,16,19)(H,20,21)/t12-,15-/m1/s1	MTQWGROISGCREO-IUODEOHRSA-N
0	0	Cc1cc(CO)c2ccc3cc(-c4cccnc4)c(F)cc3c2c1	InChI=1S/C21H16FNO/c1-13-7-16(12-24)17-5-4-14-9-19(15-3-2-6-23-11-15)21(22)10-18(14)20(17)8-13/h2-11,24H,12H2,1H3	GOZZYYZFELYVCF-UHFFFAOYSA-N
1	1	N[C@@H](C(=O)O)C(=O)Oc1c(O)cccc1Oc1ccc(O)c(C(=O)O)c1	InChI=1S/C16H13NO9/c17-12(15(22)23)16(24)26-13-10(19)2-1-3-11(13)25-7-4-5-9(18)8(6-7)14(20)21/h1-6,12,18-19H,17H2,(H,20,21)(H,22,23)/t12-/m0/s1	MPDUICJDGVBUOC-LBPRGKRZSA-N
4	4	C[C@@H]1C=C(O)Cc2cc3c(cc21)[C@H]1C(=CC3)[C@H](OCc2cccc(F)c2)C=C[C@H]1C(=O)O	InChI=1S/C27H25FO4/c1-15-9-20(29)12-18-11-17-5-6-21-25(32-14-16-3-2-4-19(28)10-16)8-7-22(27(30)31)26(21)24(17)13-23(15)18/h2-4,6-11,13,15,22,25-26,29H,5,12,14H2,1H3,(H,30,31)/t15-,22-,25-,26+/m1/s1	YTPWVQDTGTVMRV-VZIZNLJJSA-N
