Structure [idcode]	dwInChI	dwInChI-Key	
flm@`@@XrIQIIJZIQFcIZ]zJVf`@@@@@@@	InChI=1S/C17H10O2/c18-10-13-9-15-16(19-13)8-7-12-6-5-11-3-1-2-4-14(11)17(12)15/h1-10H	TWYAQFPHXPISMG-UHFFFAOYSA-N	
fmgQp@FS@`RhisdTtTTtjRbbJbRdmCVtDQETmPA@@az@	InChI=1S/C18H18N2O7/c19-11-2-1-3-12(7-11)27-8-10(17(23)24)5-4-9-6-13(21)14(18(25)26)15(20)16(9)22/h1-3,6-8,21-22H,4-5,19-20H2,(H,23,24)(H,25,26)	USOSNSXKMZJDHS-UHFFFAOYSA-N	
fas@P@@HMgHidhdieiECDeIU^mT@EUPPP@@@	InChI=1S/C20H24O4/c1-20(2,16-6-4-5-7-18(16)24-3)13-15-12-14(8-10-17(15)21)9-11-19(22)23/h4-8,10,12,21H,9,11,13H2,1-3H3,(H,22,23)	PFAUIZBWPIXNGH-UHFFFAOYSA-N	
fluQ`@MA@aJSZsKOkjMYpXmT@@ASA@@@	InChI=1S/C14H12N2O3/c17-12-7-9-6-10-8(4-5-13(18)19)2-1-3-11(10)15-14(9)16-12/h1-3,6-7,17H,4-5H2,(H,15,16)(H,18,19)	JCFUDPYTAZLHLW-UHFFFAOYSA-N	
elRPEH@NMKOJnaiem`HcHhheEDeDmHdeECM|dfEIGH@HBhjjifZjh@@@	InChI=1S/C24H29ClO10/c1-5-7-8-9-10-14(27)34-21-18(28)19(33-6-2)17-15(20(21)35-24(3,4)23(31)32)12(25)11-13(26)16(17)22(29)30/h11,26,28H,5-10H2,1-4H3,(H,29,30)(H,31,32)	HSTIMHZLLBYPAP-UHFFFAOYSA-N	
edZXA@@L@DFAEmoh\bbRbebbRLTTTRfTlSgcWTsupKULpDDAPRuUPR`MCh@@	InChI=1S/C25H21NO8/c1-12(27)34-25(33)26-23(30)14-6-3-2-5-13(14)9-17-15-7-4-8-16-20(28)11-21(29)19(22(15)16)10-18(17)24(31)32/h2-7,10-11,16,21,28-29H,8-9H2,1H3,(H,31,32)(H,26,30,33)/t16-,21+/m1/s1	JRTXALPPIAVBRC-IERDGZPVSA-N	
e`XTF@@IO`DFAOGlbbRbeTTtTtqdTLRdVUwsULuHPQUPDP@@@	InChI=1S/C24H28N2O6/c1-13-7-8-17(12-24(5,6)18-9-10-25-23(31)14(18)2)21(22(13)30)15(3)26-19(28)11-20(29)32-16(4)27/h7-10,30H,3,11-12H2,1-2,4-6H3,(H,25,31)(H,26,28)	XTZJSFLIWFXHFA-UHFFFAOYSA-N	
eh\TFHDOLaAimo`PICJYnrJJJJJIIJIPiZISPqbRpiIj@``@hbHffi`@HBH@	InChI=1S/C24H23FN2O6/c1-12(2)11-14-7-5-6-8-15(14)18-20(25)16-9-10-17(24(29)30)22(27(31)32)19(16)21(23(18)33-4)26-13(3)28/h5-10,12H,11H2,1-4H3,(H,26,28)(H,29,30)	ATFDWPBRNNQILI-UHFFFAOYSA-N	
eo`XF@@L`DACKGLbfbbbbaTJLRRRdTdTjZZ@hIjjfjjjFCR@@	InChI=1S/C24H33NO6/c1-12(2)8-16-15(24(4,5)6)10-14(25-16)9-13(3)19-18(31-7)11-17(26)20(22(27)28)21(19)23(29)30/h10-13,25-26H,8-9H2,1-7H3,(H,27,28)(H,29,30)/t13-/m1/s1	QMAWFXQBIJOAAS-CYBMUJFWSA-N	
edRXED@OBKGHdbeg`XPH`ZHrJJJZIQJIRvZJJZEZLBFA[GPPADSCSADES@@@@	InChI=1S/C21H13Cl2NO10/c22-15-8(4-11(27)28)9(25)5-10(26)13(15)19(31)24-20(32)14-17(29)6-2-1-3-7(21(33)34)12(6)16(23)18(14)30/h1-3,5,25-26,29-30H,4H2,(H,27,28)(H,33,34)(H,24,31,32)	VFGIGELBVCMTID-UHFFFAOYSA-N	
