tetra	ez	Structure of rdSMILES [idcode]	rdSMILES	rdInChI	rdInChIKey	dwSmiles	diff_rd_dw_SMILES	dwInChI	diff_rd_dw_inchi	dwInChI-Key	diff_rd_dw_inchikey	
0	0	fj}P`@IA@cHihheEdbheaZMYNV``djijE@@	Cc1c[nH]c(Cc2ccc(C(=O)O)c(-c3ccc[nH]3)c2)c1	InChI=1S/C17H16N2O2/c1-11-7-13(19-10-11)8-12-4-5-14(17(20)21)15(9-12)16-3-2-6-18-16/h2-7,9-10,18-19H,8H2,1H3,(H,20,21)	XUZBPLIVNMBVBV-UHFFFAOYSA-N	Cc1c[nH]c(Cc(cc2)cc(-c3ccc[nH]3)c2C(O)=O)c1	0	InChI=1S/C17H16N2O2/c1-11-7-13(19-10-11)8-12-4-5-14(17(20)21)15(9-12)16-3-2-6-18-16/h2-7,9-10,18-19H,8H2,1H3,(H,20,21)	1	XUZBPLIVNMBVBV-UHFFFAOYSA-N	1	
2	2	fmw@R@BQRtDQdTTRTtJTRbVTqSAV}flDDPADuUUAHrjp@	CCC[C@H]1OC(=O)c2cc(Oc3c(C)cccc3Cl)cc(CC)c2[C@@]1(C)O	InChI=1S/C22H25ClO4/c1-5-8-18-22(4,25)19-14(6-2)11-15(12-16(19)21(24)27-18)26-20-13(3)9-7-10-17(20)23/h7,9-12,18,25H,5-6,8H2,1-4H3/t18-,22+/m1/s1	MNDPJJYYFPSENN-GCJKJVERSA-N	CCC[C@H]([C@@](C)(c(c(CC)c1)c2cc1Oc(c(C)ccc1)c1Cl)O)OC2=O	0	InChI=1S/C22H25ClO4/c1-5-8-18-22(4,25)19-14(6-2)11-15(12-16(19)21(24)27-18)26-20-13(3)9-7-10-17(20)23/h7,9-12,18,25H,5-6,8H2,1-4H3/t18-,22-/m0/s1	0	MNDPJJYYFPSENN-AVRDEDQJSA-N	0	
1	1	fkopr@LZSABhmF@HrRPjJJIQYQQZEDkvZsVj`Z@f@ZJ``R@@	CCCCC(=O)NC(=O)[C@@H](CC(N)=O)S(=O)(=O)Nc1ccc(O)c2ccccc12	InChI=1S/C19H23N3O6S/c1-2-3-8-18(25)21-19(26)16(11-17(20)24)29(27,28)22-14-9-10-15(23)13-7-5-4-6-12(13)14/h4-7,9-10,16,22-23H,2-3,8,11H2,1H3,(H2,20,24)(H,21,25,26)/t16-/m1/s1	IFCXMYSYEZGOMD-MRXNPFEDSA-N	CCCCC(NC([C@@H](CC(N)=O)S(Nc(c1ccccc11)ccc1O)(=O)=O)=O)=O	0	InChI=1S/C19H23N3O6S/c1-2-3-8-18(25)21-19(26)16(11-17(20)24)29(27,28)22-14-9-10-15(23)13-7-5-4-6-12(13)14/h4-7,9-10,16,22-23H,2-3,8,11H2,1H3,(H2,20,24)(H,21,25,26)/t16-/m1/s1	1	IFCXMYSYEZGOMD-MRXNPFEDSA-N	1	
0	0	fbmpP@B\DAClyEMDhhXeEB^JmDJV`B@B@H@@@	Nc1nc2ccc3cc(O)cc(O)c3c2nc1C(=O)O	InChI=1S/C13H9N3O4/c14-12-11(13(19)20)16-10-7(15-12)2-1-5-3-6(17)4-8(18)9(5)10/h1-4,17-18H,(H2,14,15)(H,19,20)	PWWBCSCJPPBINK-UHFFFAOYSA-N	Nc1nc2ccc(cc(cc3O)O)c3c2nc1C(O)=O	0	InChI=1S/C13H9N3O4/c14-12-11(13(19)20)16-10-7(15-12)2-1-5-3-6(17)4-8(18)9(5)10/h1-4,17-18H,(H2,14,15)(H,19,20)	1	PWWBCSCJPPBINK-UHFFFAOYSA-N	1	
0	0	fe{Ar@NNCFoQ`bLbbbTTlRbfJTTsAV}@Q@DPuSM@BAJ@	CCC(=O)OC(=O)c1c(OCC(=O)O)cccc1-c1c(O)cccc1Cl	InChI=1S/C18H15ClO7/c1-2-15(23)26-18(24)17-10(16-11(19)6-4-7-12(16)20)5-3-8-13(17)25-9-14(21)22/h3-8,20H,2,9H2,1H3,(H,21,22)	WKBZMVHNJIRVNW-UHFFFAOYSA-N	CCC(OC(c(c(OCC(O)=O)ccc1)c1-c(c(O)ccc1)c1Cl)=O)=O	0	InChI=1S/C18H15ClO7/c1-2-15(23)26-18(24)17-10(16-11(19)6-4-7-12(16)20)5-3-8-13(17)25-9-14(21)22/h3-8,20H,2,9H2,1H3,(H,21,22)	1	WKBZMVHNJIRVNW-UHFFFAOYSA-N	1	
0	0	fkoAc@M^JBHPDMdDf^UuYe^^uQRcff@BhHHZjj@@@	C=C(Cl)Sc1ccc(COc2ccc(F)cc2OC(=O)C(CCC)CCC)cc1	InChI=1S/C23H26ClFO3S/c1-4-6-18(7-5-2)23(26)28-22-14-19(25)10-13-21(22)27-15-17-8-11-20(12-9-17)29-16(3)24/h8-14,18H,3-7,15H2,1-2H3	GRVRSRIGQAXUHZ-UHFFFAOYSA-N	CCCC(CCC)C(Oc(cc(cc1)F)c1OCc(cc1)ccc1SC(Cl)=C)=O	0	InChI=1S/C23H26ClFO3S/c1-4-6-18(7-5-2)23(26)28-22-14-19(25)10-13-21(22)27-15-17-8-11-20(12-9-17)29-16(3)24/h8-14,18H,3-7,15H2,1-2H3	1	GRVRSRIGQAXUHZ-UHFFFAOYSA-N	1	
1	3	elZTNH@IOMCFnemk`HcHhdhdeDbieDilhULeEKO@bjiiZijfjfiijifBIHPQD@	COC(=O)[C@@H]1C=C(C(=O)OC(=O)CCC(C)C)Cc2[nH]c3c(c21)CC(/C=C(Cl)\C=C\C(=O)O)=CN3	InChI=1S/C25H27ClN2O7/c1-13(2)4-7-21(31)35-24(32)15-10-18(25(33)34-3)22-17-9-14(8-16(26)5-6-20(29)30)12-27-23(17)28-19(22)11-15/h5-6,8,10,12-13,18,27-28H,4,7,9,11H2,1-3H3,(H,29,30)/b6-5+,16-8+/t18-/m1/s1	VVJJKRAUSSNKGN-ZKMRTDNXSA-N	CC(C)CCC(OC(C(C1)=C[C@@H](C(OC)=O)c2c1[nH]c1c2CC(/C=C(\C=C\C(O)=O)/Cl)=CN1)=O)=O	0	InChI=1S/C25H27ClN2O7/c1-13(2)4-7-21(31)35-24(32)15-10-18(25(33)34-3)22-17-9-14(8-16(26)5-6-20(29)30)12-27-23(17)28-19(22)11-15/h5-6,8,10,12-13,18,27-28H,4,7,9,11H2,1-3H3,(H,29,30)/t18-/m1/s1	0	VVJJKRAUSSNKGN-GOSISDBHSA-N	0	
0	0	fakap@F`H[tRurJJJIQJIISFYLeYK^mREQDtSSD@@	CCOC1=C(CC(=O)O)C(=O)c2c(c(O)c3cc[nH]c3c2O)C1=O	InChI=1S/C16H13NO7/c1-2-24-16-7(5-8(18)19)13(21)9-10(15(16)23)12(20)6-3-4-17-11(6)14(9)22/h3-4,17,20,22H,2,5H2,1H3,(H,18,19)	XRPPRKTWXIFPNB-UHFFFAOYSA-N	CCOC(C(c1c2c(O)c3[nH]ccc3c1O)=O)=C(CC(O)=O)C2=O	0	InChI=1S/C16H13NO7/c1-2-24-16-7(5-8(18)19)13(21)9-10(15(16)23)12(20)6-3-4-17-11(6)14(9)22/h3-4,17,20,22H,2,5H2,1H3,(H,18,19)	1	XRPPRKTWXIFPNB-UHFFFAOYSA-N	1	
1	1	fewPb@JFHTDQdTTTJRrTTTTTJhrRd}[NZ`@jhF`hbHVP@	COc1cccc2c1[C@@H](NCc1ccc3[nH]c(O)c(Cl)c3c1)C(C)=CC2	InChI=1S/C21H21ClN2O2/c1-12-6-8-14-4-3-5-17(26-2)18(14)20(12)23-11-13-7-9-16-15(10-13)19(22)21(25)24-16/h3-7,9-10,20,23-25H,8,11H2,1-2H3/t20-/m0/s1	LVRUBYGRXAYXNL-FQEVSTJZSA-N	CC1=CCc2cccc(OC)c2[C@H]1NCc(cc1)cc2c1[nH]c(O)c2Cl	0	InChI=1S/C21H21ClN2O2/c1-12-6-8-14-4-3-5-17(26-2)18(14)20(12)23-11-13-7-9-16-15(10-13)19(22)21(25)24-16/h3-7,9-10,20,23-25H,8,11H2,1-2H3/t20-/m0/s1	1	LVRUBYGRXAYXNL-FQEVSTJZSA-N	1	
0	0	fgaH@C@QirQkO_HihhdcLihhhdemhJQ^m@PSSAAQUL@@@	COc1cc(O)c(O)c(CCC(=O)O)c1C(=O)NC(=O)Cc1ccccc1C(=O)O	InChI=1S/C20H19NO9/c1-30-14-9-13(22)18(26)12(6-7-16(24)25)17(14)19(27)21-15(23)8-10-4-2-3-5-11(10)20(28)29/h2-5,9,22,26H,6-8H2,1H3,(H,24,25)(H,28,29)(H,21,23,27)	GSJPISJUUZBSHW-UHFFFAOYSA-N	COc(cc1O)c(C(NC(Cc(cccc2)c2C(O)=O)=O)=O)c(CCC(O)=O)c1O	0	InChI=1S/C20H19NO9/c1-30-14-9-13(22)18(26)12(6-7-16(24)25)17(14)19(27)21-15(23)8-10-4-2-3-5-11(10)20(28)29/h2-5,9,22,26H,6-8H2,1H3,(H,24,25)(H,28,29)(H,21,23,27)	1	GSJPISJUUZBSHW-UHFFFAOYSA-N	1	
